# Lean Kernel Arena, every test but mathlib. Exit codes: 0 accept, 1 reject, 2 decline, 3 error.
# arena leanprover/lean-kernel-arena @ 91f376e; exports lean4export 3.1.0 @ leanprover/lean4:v4.29.1.
# official = the arena's own checker at v4.34.0-rc2.  setlec-* = the run before the first rename (master 2664b1dd);
# con-leche-* = the re-run after it (master b7fa7331, task #180).  '-' = not run in that column.
test	expected	official	setlec_verified	setlec_trusted	conleche_verified	conleche_trusted	correctness
bogus1	reject	1	1	1	1	1	correct
cedar	accept	-	2	-	-	-	-
constlevels	reject	1	1	1	1	1	correct
corner-cases/alg-conv-trans-acc	either	1	1	1	1	1	either
corner-cases/alg-conv-trans-acc-left	either	0	0	0	0	0	either
corner-cases/alg-conv-trans-acc-right	either	0	0	0	0	0	either
corner-cases/alg-conv-trans-quot	either	1	1	1	1	1	either
corner-cases/alg-conv-trans-quot-left	either	1	1	1	1	1	either
corner-cases/alg-conv-trans-quot-left-def	either	0	0	0	0	0	either
corner-cases/alg-conv-trans-quot-right	either	0	0	0	0	0	either
corner-cases/imax-right-successor	either	1	0	0	0	0	either
corner-cases/positivity-whnf	either	1	2	2	1	1	either
corner-cases/proj-maybe-prop	either	0	0	0	0	0	either
corner-cases/proj-maybe-prop-past	either	0	0	0	0	0	either
corner-cases/proof-param-ok	accept	0	0	0	0	0	correct
corner-cases/proof-param-swap	either	1	2	2	1	1	either
corner-cases/subject-reduction-redex	either	0	0	0	0	0	either
corner-cases/subject-reduction-reduct	either	1	1	1	1	1	either
cslib	accept	-	-	-	0	-	correct
ctor-num-fields	reject	1	2	2	3	3	error
extra-rec	reject	1	2	2	3	3	error
init	accept	-	0	-	-	-	-
init-prelude	accept	0	0	0	0	0	correct
k-rec-conv	reject	1	1	1	1	1	correct
large-elim-param	reject	1	2	2	1	1	correct
large-elim-prop-bool	reject	1	2	2	1	1	correct
level-imax-leq	reject	1	2	2	1	1	correct
level-imax-normalization	reject	1	1	1	1	1	correct
level-index-out-of-order	accept	0	2	2	2	2	declined
nat-rec-k-lie	reject	1	2	2	2	2	declined
nat-rec-rules	reject	1	2	2	2	2	declined
nested-nonuniform-param	either	1	0	0	0	0	either
nested-unused-param	reject	1	2	2	1	1	correct
orphan-ctor	reject	1	2	2	3	3	error
orphan-rec	reject	1	2	2	3	3	error
perf/app-lam	accept	0	0	0	0	0	correct
perf/args-before-unfold	accept	0	0	0	0	0	correct
perf/beta-ladder	accept	0	0	0	0	0	correct
perf/church-numerals	accept	0	0	0	0	0	correct
perf/discarded-argument	accept	0	0	0	0	0	correct
perf/discarded-argument-match	accept	0	0	0	0	0	correct
perf/folded-constant-first	accept	0	0	0	0	0	correct
perf/folded-constant-last	accept	0	0	0	0	0	correct
perf/grind-ring-5	accept	0	0	0	0	0	correct
perf/identical-nesting	accept	0	0	0	0	0	correct
perf/irrelevance-before-evaluation	accept	0	0	0	0	0	correct
perf/let-ladder	accept	0	0	0	0	0	correct
perf/refute-cheap-first	reject	1	1	1	1	1	correct
perf/refute-cheap-last	reject	1	1	1	1	1	correct
perf/repeated-subproblem	accept	0	0	0	0	0	correct
perf/shared-subterm	accept	0	0	0	0	0	correct
perf/shift-cascade	accept	0	0	0	0	0	correct
perf/unroll-versus-evaluate	accept	0	0	0	0	0	correct
proj-non-structure	reject	1	2	2	2	2	declined
proj-of-imax-prop	reject	1	2	2	1	1	correct
proj-of-prop	reject	1	1	1	1	1	correct
proj-of-stuck-prop	reject	1	2	2	2	2	declined
proj-of-subst-prop	reject	1	2	2	2	2	declined
proof-irrel	accept	0	2	2	2	2	declined
rec-k-lie	reject	1	2	2	1	1	correct
rec-missing-ih	reject	1	2	2	3	3	error
rec-of-subst-prop	reject	1	2	2	2	2	declined
sparse-name-index	accept	0	2	2	2	2	declined
std	accept	-	0	-	-	-	-
tutorial/001_basicDef	accept	0	0	0	0	0	correct
tutorial/002_badDef	reject	1	1	1	1	1	correct
tutorial/003_arrowType	accept	0	0	0	0	0	correct
tutorial/004_dependentType	accept	0	0	0	0	0	correct
tutorial/005_constType	accept	0	0	0	0	0	correct
tutorial/006_betaReduction	accept	0	0	0	0	0	correct
tutorial/007_betaReduction2	accept	0	0	0	0	0	correct
tutorial/008_forallSortWhnf	accept	0	0	0	0	0	correct
tutorial/009_forallSortBad	reject	1	1	1	1	1	correct
tutorial/010_nonTypeType	reject	1	1	1	1	1	correct
tutorial/011_nonTypeAxiom	reject	1	1	1	1	1	correct
tutorial/012_nonPropThm	reject	1	1	1	1	1	correct
tutorial/013_thmProof	accept	0	0	0	0	0	correct
tutorial/014_selfProof	reject	1	1	1	1	1	correct
tutorial/015_levelComp1	accept	0	0	0	0	0	correct
tutorial/016_levelComp2	accept	0	0	0	0	0	correct
tutorial/017_levelComp3	accept	0	0	0	0	0	correct
tutorial/018_levelParams	accept	0	0	0	0	0	correct
tutorial/019_tut06_bad01	reject	1	1	1	1	1	correct
tutorial/020_levelComp4	accept	0	0	0	0	0	correct
tutorial/021_levelComp5	accept	0	0	0	0	0	correct
tutorial/022_imax1	accept	0	0	0	0	0	correct
tutorial/023_imax2	accept	0	0	0	0	0	correct
